Timestamp,LSS,RSS,weight
6/28/18 15:02,10,10,67
6/28/18 15:02,11.5,11.5,72.5
6/28/18 15:02,10.5,10.5,70
6/28/18 15:03,8.5,8.5,66
6/28/18 15:03,9.5,9.5,71
6/28/18 15:03,10,10,71
6/28/18 15:03,9.5,9.5,65
6/28/18 15:03,8.5,9,72
6/28/18 15:03,8.5,8.5,66
6/28/18 15:03,9.5,9.5,68
6/28/18 15:03,5.5,6.5,61
6/28/18 15:03,11,11,73
6/28/18 15:03,12,12,73
6/28/18 15:03,9,8.5,69
6/28/18 15:03,8.5,8.5,67
6/28/18 15:03,7,7,62
6/28/18 15:03,9,9,67
6/28/18 15:03,6.5,6.5,62
6/28/18 15:03,8.5,8.5,65
6/28/18 15:03,10.5,11,74
6/28/18 15:03,9,8.5,69
6/28/18 15:04,6,6,66
6/28/18 15:04,6,6,64